                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2629,                 5.1671,                 1.5928,                      0,                      0,                      0,                      0,                0.93422,                 5.0858,                 1.4291,               2.85e-06,               2.85e-06,               2.85e-06
                      2,                 1.2516,                  5.195,                 1.5976,                      0,                      0,                      0,                      0,                0.94318,                 5.0841,                 1.4349,             6.2638e-06,             6.2638e-06,             6.2638e-06
                      3,                 1.2407,                 5.1859,                 1.5504,                      0,                      0,                      0,                      0,                0.92965,                 5.0806,                 1.4165,             9.6708e-06,             9.6708e-06,             9.6708e-06
                      4,                 1.0958,                 5.1234,                 1.4875,                      0,                      0,                      0,                      0,                0.90707,                  5.079,                 1.3983,             1.3071e-05,             1.3071e-05,             1.3071e-05
                      5,                 1.1824,                 5.1574,                  1.552,                      0,                      0,                      0,                      0,                0.92575,                 5.0777,                 1.4207,             1.6465e-05,             1.6465e-05,             1.6465e-05
                      6,                 1.1077,                 5.1355,                  1.509,                      0,                      0,                      0,                      0,                0.93518,                 5.0742,                 1.4259,             1.9851e-05,             1.9851e-05,             1.9851e-05
                      7,                 1.0708,                 5.0862,                 1.4884,                      0,                      0,                      0,                      0,                0.93291,                 5.0647,                 1.4307,             2.3231e-05,             2.3231e-05,             2.3231e-05
                      8,                 1.0105,                 5.0946,                 1.4344,                      0,                      0,                      0,                      0,                0.91521,                 5.0596,                 1.4167,             2.6604e-05,             2.6604e-05,             2.6604e-05
                      9,                0.95509,                 5.1013,                  1.414,                      0,                      0,                      0,                      0,                0.91954,                 5.0428,                 1.4078,             2.9971e-05,             2.9971e-05,             2.9971e-05
                     10,                 1.0253,                 5.0958,                 1.4548,                      0,                      0,                      0,                      0,                0.92916,                 5.0193,                 1.4004,              3.333e-05,              3.333e-05,              3.333e-05
